iter,time,reward,steps,convergence
1,0.0013687640000004109,-251.78,200.0,89.20099
2,0.003347400999999195,-228.58,200.0,79.3939083206464
3,0.004671640999999838,-203.06,200.0,70.4939083206464
4,0.005482159999999681,-203.64,200.0,60.7027966377464
5,0.006227321000000785,-205.96,200.0,51.01530880443796
6,0.006876349000000559,-212.92,200.0,41.92530880443796
7,0.007666229999999885,-216.98,200.0,32.119876623222346
8,0.00848021599999882,-257.88,200.0,22.244739065430842
9,0.009186341999997794,-227.42,200.0,12.633903869973988
10,0.00999878399999865,-204.2,199.68,3.462903869973985
11,0.010805228999998917,-228.0,200.0,4.363912869973985
12,0.011504588999999399,-249.46,200.0,4.557509402795164
13,0.012307128999998085,-200.16,200.0,4.243673113285165
14,0.013109209999997873,-212.02,195.62,4.864585967185165
15,0.013902525999997195,-216.4,200.0,5.269621139934605
16,0.014717538999997615,-202.48,200.0,4.559493054911522
17,0.015519111999998003,-209.34,198.54,4.76435390863134
18,0.015771428999997283,-200.52,197.42,5.354151039118543
19,0.016574849999996033,-365.46,200.0,5.164284805517645
20,0.01737142299999661,-240.18,200.0,4.734385705217645
21,0.01817263599999741,-326.44,200.0,3.98147267253504
22,0.018975067999996043,-266.42,200.0,4.248151434493598
23,0.019771157999995737,-232.06,200.0,3.860711791032
24,0.02035382999999591,-204.8,200.0,3.1702573823311897
25,0.021158236999996305,-207.88,200.0,2.6230245083035353
26,0.02178730799999684,-215.7,200.0,2.6400355414720735
27,0.022595649999997747,-207.7,200.0,2.7907988794203553
28,0.023120548999997936,-203.64,200.0,2.5082049422669797
29,0.02371944399999748,-212.84,200.0,2.8569931998199123
30,0.024514561999998463,-205.62,197.36,2.6567144900459367
31,0.02531151999999892,-210.02,200.0,2.8178193956665916
32,0.025894304999999562,-180.94,186.42,2.596880387320275
33,0.026368971999998436,-201.32,200.0,2.661106651372962
34,0.027139922999998234,-221.3,196.38,2.9762522691218605
35,0.027865818999998737,-185.38,190.2,3.273330765895153
36,0.02812624999999791,-214.26,200.0,3.474899072729138
37,0.02837395299999912,-227.92,199.62,3.3394641677795676
38,0.028541427999998703,-148.72,167.72,3.298089132210399
39,0.028705063999998615,-208.76,197.24,3.4317767426617607
40,0.0293728179999988,-165.7,175.24,3.6144387691545874
41,0.02965654599999823,-163.1,174.12,3.7114966114967203
42,0.030332617999997424,-188.8,190.32,3.672510013575662
43,0.030488410999996773,-198.48,199.46,3.583221262788
44,0.030610139999996733,-171.8,181.72,3.778442127302597
45,0.03077372399999767,-204.22,200.0,3.689677357097164
46,0.031263483999996566,-184.42,188.86,3.8697765593011013
47,0.031920073999996745,-168.7,180.62,3.906540865307092
48,0.03211524599999649,-194.8,192.56,3.9351971572296627
49,0.032255819999997826,-185.26,176.06,3.585419656254048
50,0.03250574999999678,-161.08,162.28,4.111200509682113
51,0.03335690999999663,-169.64,181.82,3.8923134902579557
52,0.03359229199999625,-190.18,192.6,3.832618454742575
53,0.033773746999996135,-143.74,163.44,3.79506068899533
54,0.034086358999996236,-198.08,195.26,4.087908325466711
55,0.034681949999995965,-157.22,173.18,4.313445469833713
56,0.03550408499999591,-190.32,193.04,4.323003071563824
57,0.03564952199999638,-158.66,173.28,4.187486083143153
58,0.03601391299999612,-96.54,129.18,4.066028419176493
59,0.03628644699999661,-150.1,166.86,4.572924462628871
60,0.036580776999995734,-160.62,176.3,3.965813484786932
61,0.03691999199999607,-86.38,118.54,4.019968674720227
62,0.037302781999995815,-74.98,107.44,3.98079968185626
63,0.03765595499999641,-112.16,139.26,3.9196594500115522
64,0.03775574999999698,-111.82,135.22,3.5274948548099845
65,0.03792299499999707,-152.8,170.08,3.5308866558344163
66,0.03821717799999824,-157.1,170.22,3.5301232191326677
67,0.03834344699999903,-140.04,160.3,3.5062281271160147
68,0.0386887689999984,-201.86,184.1,3.486946496813053
69,0.038926021999998284,-342.36,173.84,3.004234030637952
70,0.03919154599999786,-219.66,184.64,3.343412185996384
71,0.039409161999996556,-47.84,69.02,4.0165331080968105
72,0.03951646799999686,-200.48,174.72,3.9669232876171683
73,0.03988724999999782,-42.08,91.14,4.311215407767269
74,0.04002470799999713,-57.68,90.2,4.706448282597562
75,0.04025058399999715,-43.74,70.22,4.397993589412559
76,0.04052163899999783,-158.6,169.26,4.0257723806863215
77,0.04069729999999794,-119.2,137.7,3.9849350820636418
78,0.040870613999997474,-73.28,99.52,3.9288578307211437
79,0.041032432999998036,-0.28,31.04,3.774740419183022
80,0.041126178999997265,-84.22,120.02,3.665321432438735
81,0.04122167799999765,-166.12,176.86,3.264199103159241
82,0.04132614599999762,-76.9,101.82,3.2176854170425258
83,0.04144982699999744,-140.1,156.48,3.079358860658897
84,0.04159468199999772,-43.3,76.12,2.4762219901289058
85,0.04173769599999666,-175.54,180.5,2.711410805070829
86,0.04190438199999669,-180.36,186.74,3.3685986448913185
87,0.04221911199999795,-56.96,89.3,3.4520195610069315
88,0.042332640999998006,-38.54,75.4,3.4230440872998003
89,0.042504334999998505,-4.86,53.4,3.8435055536485776
90,0.04261480999999989,-20.14,55.74,3.5541670330612134
91,0.04277322599999955,-42.96,81.84,3.27031325946988
92,0.04287858700000058,-18.8,62.6,3.276513573500825
93,0.043018357999999424,-16.1,55.54,3.7470641497404684
94,0.04310601199999908,-45.08,77.46,3.830554330834598
95,0.04319261299999866,-16.34,44.26,3.5139064877795305
96,0.04327966099999969,-36.52,68.04,3.230642322803334
97,0.0433895789999994,-93.16,125.36,3.1911874443257795
98,0.043523271999999835,0.48,25.94,3.2412817884528686
99,0.04360231299999917,-71.08,104.52,3.0451295807950416
100,0.043744956999999474,-34.36,60.06,3.1336180879393636
101,0.043844067999998515,3.5,26.04,3.3117743858949913
102,0.04390880399999908,8.76,25.32,3.344249614983638
103,0.04396983999999904,6.64,25.48,3.034175876693977
104,0.04402875599999767,11.06,25.12,2.859772567876334
105,0.044107143999998044,0.18,25.7,3.0168492743189277
106,0.04419957699999877,8.64,25.18,2.857841054040811
107,0.04429979799999728,1.66,24.9,2.9172463194376617
108,0.044361234999998445,-2.38,25.72,3.0611463722983254
109,0.044430681999998,5.82,25.06,2.9204090014650035
110,0.044502669999996414,-2.2,25.4,3.1996750393648155
111,0.044593149999997195,7.38,26.12,2.913083114753326
112,0.04466079999999728,12.1,25.28,3.2936022825223077
113,0.044725023999998115,2.42,24.92,3.052063296625964
114,0.04480519299999841,10.22,25.2,3.289426495960599
115,0.044876693999997386,0.4,24.92,3.521912460743542
116,0.044939983999997324,2.68,24.94,3.673226152343856
117,0.04504502399999666,-2.04,26.14,3.7240354797720014
118,0.045143349999996474,11.14,24.56,3.943946006211236
119,0.04522290799999773,10.38,26.1,4.050441279732179
120,0.04529792099999774,14.68,24.5,3.7787375093780895
121,0.045356436999998806,13.86,25.18,3.7481780979396917
122,0.045451486999999346,4.2,25.42,3.7389779128657397
123,0.04552553099999912,7.18,25.34,3.6998050012397288
124,0.04564646999999944,13.64,25.22,3.5434660502748736
125,0.04573277699999956,7.84,26.34,3.2505608618295447
126,0.045834543999999866,5.9,25.82,2.9154200426800605
127,0.04591191899999991,11.48,25.78,2.815265901305003
128,0.04599509300000015,4.0,26.46,2.4289744641278634
129,0.04613435400000121,19.5,31.46,2.6426560391953884
130,0.04622493400000138,8.5,32.28,3.082024534186552
131,0.04633754500000187,7.9,25.88,3.0524808259804117
132,0.046404667000002675,4.28,26.6,3.148068604818211
133,0.046478056000001544,5.82,25.4,3.072039593354541
134,0.04653253500000076,7.94,25.3,2.9890148936753103
135,0.046609562000002214,-4.3,25.0,2.9554804538015134
136,0.04667792100000234,4.92,27.16,2.9789652266054945
137,0.046750857000001034,4.36,25.08,2.939557124987573
138,0.046841959000001765,6.88,27.06,3.009160783750361
139,0.04699263800000253,5.78,26.56,2.735815198486195
140,0.04719384300000229,6.54,25.0,2.187297659474174
141,0.04741716000000196,3.0,25.64,2.538771873094619
142,0.04750367300000313,1.88,26.32,2.6297832717433858
143,0.047589397000002975,5.2,25.72,2.95365718989682
144,0.04769033500000397,11.22,24.78,2.981337565539534
145,0.047754546000005504,8.34,25.12,3.0258792783501276
146,0.04783839900000686,8.44,24.54,3.053108077040691
147,0.047899565000006916,-2.84,25.66,3.109698023591804
148,0.04798981300000804,3.9,25.46,3.1038182693101275
149,0.04806399700000874,10.78,25.0,3.3807339501995335
150,0.04816179600000936,6.4,25.82,3.4545058536286732
151,0.048256823000009774,2.82,26.28,3.4493316180041034
152,0.048334872000008744,1.4,25.16,2.9233818245278096
153,0.048433915000009264,1.38,26.98,2.635960417711762
154,0.04850052400000848,8.36,24.52,2.7086143376414236
155,0.04858013000000838,7.52,25.1,2.6926026685473494
156,0.04864880400000793,9.54,24.14,2.637962716986353
157,0.048730876000007584,13.1,25.44,2.648419441379408
158,0.04883110300000837,7.94,24.86,2.522427468782712
159,0.04890500100000672,8.74,25.52,2.522568440646545
160,0.048989262000006306,1.0,26.22,2.4101154401326674
161,0.049105528000007226,3.36,25.64,2.05235137322165
162,0.04917538700000712,12.98,26.1,2.135761747557143
163,0.04923916900000691,-0.94,26.94,2.1486754010145432
164,0.04931235000000633,3.86,27.74,2.2256131540986273
165,0.049388115000006394,7.18,26.0,2.211998873068164
166,0.04946242900000719,11.1,24.78,2.2281655139263234
167,0.04955963500000671,3.56,25.44,2.5037962333710935
168,0.04963623300000641,0.36,25.84,2.674964675215178
169,0.04973128200000687,1.2,26.24,2.3395664113616723
170,0.049812471000008074,5.44,25.92,2.476571387039326
171,0.049893243000008525,-10.06,25.34,2.8347700854480307
172,0.04996285200000905,0.72,24.98,2.7869405771569817
173,0.05003203700001002,7.9,25.42,2.799538934605149
174,0.05012898200000926,0.22,25.3,2.6612420727166413
175,0.05021619000000932,6.18,25.62,2.974605804534571
176,0.050323155000009834,-3.22,25.06,2.962114598313111
177,0.05041124900001037,-3.14,25.94,2.65150368460377
178,0.050519254000009894,-4.02,26.34,2.6652523896519305
179,0.050588884000008605,-11.4,26.28,3.3046570230871026
180,0.050725847000009594,-3.02,25.16,3.325426704627688
181,0.05080595300000823,-2.48,25.24,3.040111494907678
182,0.05088004900000698,1.12,26.14,3.0259514191720966
183,0.050954156000006634,3.72,25.18,3.2875461355535385
184,0.05103468200000627,-3.0,26.34,3.4057106254701637
185,0.05111048100000737,-0.1,27.14,3.393934442744211
186,0.05121907800000791,-4.46,26.68,3.432438351145092
187,0.0516051950000076,4.52,25.42,3.4738763477978774
188,0.05193731200000684,7.02,25.08,3.4546014210033626
189,0.05222954200000629,7.46,25.72,2.779999334394774
190,0.05241751400000716,-2.86,26.5,2.6459603279611694
191,0.05255785100000665,0.68,25.68,2.93150646817145
192,0.05263523800000591,-6.16,25.18,3.213966807911979
193,0.05274125900000648,1.52,25.64,2.8488152475223534
194,0.052842248000006364,0.18,26.46,2.7801849463046637
195,0.05292368500000677,-2.96,25.94,2.4735196674408484
196,0.05300320200000641,0.46,25.46,2.8389423687998816
197,0.05311182400000547,3.66,26.1,2.785444446035149
198,0.053180296000006066,-3.8,25.98,3.088244694819027
199,0.05327060200000666,0.5,25.28,3.1776558237939554
200,0.053346747000007966,7.62,24.94,3.246744787686006
201,0.0534107170000091,2.06,25.52,2.919623760806525
202,0.053491717000008876,0.22,25.44,2.6341104486928875
203,0.05357849000000847,4.14,25.6,2.6427443786006175
204,0.05366130900000776,7.1,25.56,2.64529698805499
205,0.053731124000009345,-6.02,25.96,2.6262924306390802
206,0.053792136000009094,-0.36,25.84,2.1783283091069494
