iter,time,reward,steps,convergence
1,0.0008235250000012684,-232.86,195.0,91.94255100000001
2,0.001619270999999145,-209.24,199.14,84.59852139
3,0.0025393059999991863,-208.46,197.02,74.95644213430343
4,0.0033655159999987916,-270.24,199.32,67.38378085599467
5,0.00490308599999878,-256.98,194.34,60.09378087924976
6,0.005692897999999502,-221.88,197.5,52.803522956680254
7,0.006050004999998748,-200.58,197.8,59.69695775668025
8,0.007034210999997015,-201.32,200.0,52.135382142588256
9,0.007819782999998637,-200.16,200.0,44.58537847870665
10,0.008606598999996606,-203.06,200.0,34.91818512335895
11,0.009398914999998453,-200.74,200.0,32.07796218980615
12,0.010212403000000592,-200.16,200.0,32.13199177433192
13,0.011147995000001742,-222.78,200.0,32.10897335580228
14,0.011931820000004478,-232.12,199.18,32.13041334770349
15,0.01271281700000415,-205.96,200.0,31.662870928379856
16,0.013500327000002699,-202.48,200.0,31.66312885092588
17,0.014291016000001378,-203.06,200.0,14.869864261978929
18,0.015078111000001115,-200.16,200.0,12.531441120151005
19,0.015928825999999674,-205.38,200.0,10.181444854959896
20,0.01695476999999812,-206.54,200.0,9.948638482443668
21,0.017742612999999352,-201.32,200.0,9.946310416033535
22,0.01857140799999968,-200.74,200.0,7.336310468521219
23,0.01935841799999949,-204.22,197.96,7.1014309011179275
24,0.02014334300000087,-200.28,199.52,4.752835330543867
25,0.020938135999998053,-198.62,197.58,2.610377726614087
26,0.021728506999998842,-201.9,200.0,0.000377834984000458
