iter,time,reward,steps,convergence
1,0.0009836360000008426,-244.02,195.34,90.09
2,0.0018028510000007714,-274.7,195.14,81.17109
3,0.0023584970000030125,-219.84,198.56,75.86109
4,0.0030055110000049012,-187.52,184.3,66.93957262927799
5,0.003457233000005999,-391.38,193.68,60.532162326342
6,0.0039423260000077676,-240.84,188.32,53.40747041738132
7,0.004618907000008221,-243.62,193.98,44.643045946674185
8,0.004823737000009487,-252.64,196.8,37.50793594667419
9,0.0057177920000057725,-221.62,198.7,28.779550889057354
10,0.006216860000009206,-138.34,153.44,22.110580229138918
11,0.006473007000010966,-42.36,89.3,22.937860096454223
12,0.006760316000004707,-151.98,167.0,26.972122819518383
13,0.007628870000004895,-124.1,149.02,23.660054575150472
14,0.008528939000001401,-101.92,159.92,23.47723527300863
15,0.008881324000000745,-139.56,170.94,20.637031521426422
16,0.009534289000001195,-27.4,83.44,20.792003014332245
17,0.009948454999999967,-34.56,96.02,21.66452500000861
18,0.010254179000000363,16.22,48.1,20.42246655866503
19,0.010385134999999934,-57.66,105.86,22.12593628753394
20,0.010957925999996121,-19.4,97.06,21.14672265064599
21,0.011041520999995669,17.42,50.58,20.01532221431406
22,0.01113931899999443,35.78,27.36,16.57136770451414
23,0.011278601999997306,-144.02,160.02,19.748578936578426
24,0.01211650599999814,-200.42,196.48,20.985565465847777
25,0.013022815999995885,-195.24,192.02,25.050461606941486
26,0.01565257400000064,-174.72,170.56,23.84225087811227
27,0.01760287199999766,-200.8,181.16,25.38525893355768
28,0.019478035999995313,-67.92,85.56,27.787570200689835
29,0.019730918999997016,-151.66,163.24,26.07819271735467
30,0.020051047999992022,-72.88,91.82,28.41637658958556
31,0.020385155999989024,-401.32,199.6,29.370493356911574
32,0.021055947999983005,-81.34,116.2,34.17592418972973
33,0.02115026699998168,-180.62,173.06,35.65428515080385
34,0.021921142999978827,21.84,41.3,36.37911893112359
35,0.021997594999980663,21.14,40.26,32.36766241755494
36,0.02208267099998551,28.86,34.88,31.45258840905513
37,0.02217286499998039,-31.08,91.34,30.802760054104716
38,0.022660265999981277,-18.18,67.12,31.63285952173
39,0.02279891299998127,-28.08,90.08,30.99088288375811
40,0.022999610999981712,17.3,36.88,29.251178296475473
41,0.023294660999987116,7.1,45.8,28.223458686545246
42,0.02344362199998784,15.72,42.78,22.254331765589694
43,0.023513919999984978,-0.98,63.26,19.402670915307954
44,0.02371667899998897,26.0,31.64,17.1757401920368
45,0.023920028999988574,16.06,38.12,17.170132656633832
