iter,time,reward,steps,convergence
1,0.0009576469999998949,-225.1,200.0,91.8
2,0.001893914999996582,-408.34,200.0,90.9
3,0.0032329869999969674,-298.42,200.0,83.69394110785552
4,0.003747572999998283,-265.76,198.74,82.79394110785553
5,0.004435098000001858,-159.54,175.2,78.15947796706345
6,0.005205148999998244,-180.46,184.6,69.18305413750197
7,0.006230346000002385,-203.18,198.08,62.26003721854452
8,0.007118316000003233,-116.74,148.02,57.688800657670946
9,0.008039527000008206,-118.92,144.94,52.78670337154176
10,0.008332373000008886,-28.14,82.92,50.90551030108211
11,0.009064926000007745,-108.1,157.76,52.246926597466576
12,0.009555690000006223,-72.52,107.36,47.469226347853926
13,0.009868969000002892,-187.18,192.5,53.23414991587504
14,0.010177353999999639,-24.94,76.56,49.73875551333547
15,0.010341181999997673,40.6,24.86,50.89893097378493
16,0.010428261000001271,4.9,59.98,58.11664598754303
17,0.010520459000005644,-394.74,42.02,64.9465533425634
18,0.01062159000000662,33.02,26.64,67.22885864844923
19,0.010701686000011534,32.74,25.18,69.69436610062488
20,0.010799043000012887,21.14,40.84,64.14997795451485
21,0.010871073000018328,-8.82,72.26,67.61506754699002
22,0.010981203000014261,22.28,41.44,63.94603498866961
23,0.011115241000013043,-456.42,58.18,63.65321007932971
24,0.011194827000011287,42.4,24.8,60.98583113907722
25,0.011255492000010747,21.74,39.66,55.41181021830382
26,0.011340090000011571,30.54,26.22,54.692607440912774
27,0.011440543000013292,38.7,25.6,50.21730737242605
28,0.011505262000007122,31.2,26.72,43.48240133170364
29,0.01163291100000663,42.2,25.0,37.73628945723759
30,0.011705074000005311,16.02,42.48,42.77449747282714
31,0.011774776000002873,-27.64,56.56,38.1628523764335
32,0.012050897999998256,12.12,48.7,39.48067233347907
33,0.012121229999998206,35.7,26.86,31.862030844225984
34,0.01219395099999332,37.68,27.2,31.925473943169823
35,0.01225604399999014,22.02,43.44,34.096163478253864
36,0.01233104499998916,33.2,28.2,27.10716735757743
37,0.01240445299999493,31.82,27.84,27.03518186268476
38,0.01246919299999405,28.74,27.44,27.936675961797768
39,0.012532142999994278,-525.64,82.16,29.242285981601686
40,0.012615897999992853,37.3,26.42,26.50613135528488
41,0.012681601999993575,10.66,49.0,24.36530762832054
42,0.01273958899999883,12.56,46.52,30.83902462653151
43,0.012856196000001319,20.02,44.28,31.384943142738347
44,0.012941259000001537,18.54,39.38,31.076895499027255
45,0.013011772000005806,43.46,23.74,35.791245093908216
46,0.013093404000009912,12.8,51.5,38.237308785188546
47,0.013173918000006779,-155.28,165.04,35.73089270045616
48,0.013301323000007415,10.22,49.44,38.908745843789184
49,0.013396125000006975,-29.76,83.64,43.2331522351934
50,0.013639166000004366,39.22,25.66,40.70681258947126
51,0.013767623000006779,24.06,40.24,41.285298478701726
52,0.013847041000005333,5.26,56.14,35.8511773431202
53,0.01394373500000512,-341.8,105.18,39.51798954744626
54,0.014306472000001236,0.42,64.46,38.82732018415808
55,0.014419884000005823,3.7,62.92,35.36215375923411
56,0.014516701000012233,35.28,26.12,35.09733593039289
57,0.014588569000011375,19.06,42.92,37.81322098368198
58,0.014664560000014148,24.26,39.46,33.41541204792547
59,0.014737578000016072,33.86,26.38,26.388300479091356
60,0.01480000100001888,7.54,55.6,24.66294959103062
61,0.014970681000022523,0.7,63.6,24.080864623461764
62,0.015084214000026464,-52.4,114.12,21.843469090408846
63,0.015258987000024149,31.56,27.52,21.82699613866081
64,0.015332990000018754,-31.56,87.76,24.13861733924088
65,0.015624789000014516,-145.3,167.3,21.522681728512826
66,0.015863796000019192,38.08,27.96,20.969545335566643
67,0.01595028200001991,-319.68,40.62,21.314827166071517
68,0.01607673000001597,31.62,31.52,23.514982145851388
69,0.016188884000015946,31.94,27.72,25.953766655173276
70,0.01631480200001789,-183.74,168.06,26.142951690105793
71,0.016427945000017985,37.4,26.9,28.105468259051975
72,0.01651547900002015,17.34,45.22,30.192804742491546
73,0.016641829000015207,21.76,45.44,26.003014753776505
74,0.01672761500001485,3.94,55.74,24.70392057325708
75,0.01687834600001281,-32.64,58.66,25.9582126921626
76,0.01699401300000858,34.82,25.42,26.659860294343048
77,0.01707412500000771,32.64,25.86,24.120030346455515
78,0.017160013000001584,17.78,42.46,23.51130519688783
79,0.017274720999999715,33.94,28.04,23.314494963573043
80,0.01747467999999941,17.58,44.4,24.39344555033286
81,0.01761579100000432,1.36,65.84,24.407767446044303
