iter,time,reward,steps,convergence
1,0.0019016509999989495,-225.94,198.14,89.39
2,0.003073807999998124,-241.6,190.18,79.7799480349
3,0.004716778999998894,-199.74,194.04,71.6999480349
4,0.005661520999998615,-184.38,182.42,63.4873100349
5,0.006684088999998394,-201.9,200.0,53.60420906301
6,0.007660873999997264,-191.42,195.0,43.716081645418775
7,0.008621484999997264,-198.9,197.86,33.82631283916125
8,0.00957410599999875,-198.0,198.7,23.93340321871317
9,0.01051790999999902,-199.8,199.92,14.03876286068321
10,0.011489910999998187,-205.38,200.0,4.143665691655883
11,0.012421112999998485,-201.3,198.52,3.8580922937178146
12,0.01335061999999887,-191.0,195.16,5.5681442588178145
13,0.014303500999998775,-190.86,197.04,3.7798136473306783
14,0.01523608999999837,-198.42,198.54,2.1182819646539413
15,0.016185149999998316,-192.74,195.16,2.1224758773815893
16,0.01715270299999716,-244.68,196.94,2.405251413033416
17,0.01748104899999703,-236.4,198.82,2.455120329552223
18,0.01841526299999785,-242.84,193.34,2.49391012616253
19,0.018886164999997845,-203.06,200.0,2.5434575357745843
20,0.019824143999997546,-202.48,200.0,2.571540709824866
21,0.020763503999996047,-199.58,200.0,2.5956444620489636
22,0.02170081699999571,-195.4,197.26,0.619985797416993
23,0.022626505999996382,-200.16,200.0,0.6093867048193786
24,0.02356750599999735,-200.74,200.0,0.5981964838365499
25,0.024497489999998123,-200.74,200.0,0.5895024009262884
26,0.02548862799999796,-201.32,200.0,0.30487030176703056
