iter,time,reward,steps,convergence
1,0.0005958830000025728,-234.3,200.0,98.1
2,0.000912369000005242,-218.58,199.42,91.24068915573841
3,0.0019385220000103232,-234.38,200.0,84.07230175922884
4,0.002732053000009671,-205.38,200.0,75.3719783829728
5,0.0035431230000142477,-196.22,194.74,74.47197838297281
6,0.0039053150000114556,-235.54,193.54,70.9358776305899
7,0.004231334000017739,-198.54,181.6,66.34675243652755
8,0.004740024000021492,-226.14,197.66,59.04852436190655
9,0.005534101000023384,-243.08,188.5,57.95102447414955
10,0.0059758730000254445,-198.96,182.76,51.613790269443044
11,0.006354642000026445,-217.24,190.34,45.683276337619986
12,0.0065814600000280166,-128.48,148.14,51.041236900961195
13,0.006691724000027932,-60.84,97.06,52.74720384827757
14,0.006815427000027796,-15.96,77.1,54.45630615936572
15,0.00691782500002347,-11.22,72.06,54.04535516074729
16,0.007065109000023995,18.02,37.32,56.41670016855598
17,0.007130096000025787,20.34,39.72,59.01353127680395
18,0.0071975410000248985,33.2,26.46,65.2066412519493
19,0.0072563190000281,9.98,46.24,65.18894228867734
20,0.007353691000034246,32.5,30.94,69.90647976299537
21,0.0074540930000353,16.88,39.62,74.70735709663805
22,0.007537975000040831,-44.42,84.76,72.6401345697578
23,0.007623541000036482,-70.52,104.58,68.8331515734775
24,0.007739417000031779,18.06,33.1,72.02765432004495
25,0.008008433000028958,-24.2,45.58,69.83560274573665
26,0.008087775000035435,21.76,43.34,69.71916743351925
27,0.008168034000036073,32.44,27.26,62.55409539541063
28,0.008229658000033169,17.48,43.34,62.02588741419754
29,0.008325596000034352,30.86,28.4,62.24108626522652
30,0.008428596000030097,18.14,40.94,56.18312542232127
31,0.008532948000031126,8.1,56.02,56.866238269302436
32,0.00864494400003224,34.58,26.24,52.66465163629864
33,0.008725049000034346,10.82,45.88,52.65244840040667
34,0.008807541000031449,-376.54,54.02,51.742212369170865
35,0.008869831000033912,-114.02,43.42,47.65831184948054
36,0.008959553000032372,11.18,25.4,44.382385087256246
37,0.009031271000033314,31.42,27.66,47.639960603195455
38,0.009096576000032996,17.9,43.44,42.32656878877177
39,0.009162475000032089,27.06,28.5,42.241312279801
40,0.009229197000031775,10.12,39.86,45.20963850096747
41,0.00929838000003258,23.08,38.32,40.81590194123085
42,0.009424703000028956,1.3,28.28,44.182459290411934
43,0.009507788000028938,-5.86,47.0,47.42282164525838
44,0.009597199000026535,-13.34,39.72,46.81977186000081
45,0.009689699000027474,-19.5,43.68,49.09626181163906
46,0.009785636000032127,-33.18,66.06,48.655404736143545
47,0.009873962000035874,-44.06,67.88,45.45225388327269
48,0.010003678000039429,-185.46,187.18,43.633276676392356
49,0.010207992000040633,-104.08,126.88,38.94741122187449
50,0.010354158000041025,-87.7,111.36,38.621524774492215
51,0.010499629000037203,8.78,36.1,38.79729990126401
52,0.010579625000033843,-24.84,60.44,37.81281205112733
53,0.010717947000031813,-7.36,37.52,38.3632347618784
54,0.010812657000030867,-45.72,62.86,34.73738475445563
55,0.010948430000034648,-144.4,161.0,31.987835329506527
56,0.011046355000033259,-142.5,158.06,31.60714756988137
57,0.011230556000036529,-512.86,195.56,35.7167335800815
58,0.01145413800004036,-92.92,122.74,39.1719380176193
59,0.01193416400003855,-179.92,182.6,39.92981761799287
60,0.012959512000037421,-179.7,187.9,38.5021219065889
61,0.013359532000038143,-26.38,77.14,35.44006071327709
62,0.013763884000042026,-54.14,89.5,34.505534749201715
63,0.013857036000040068,-58.7,93.62,33.306597514707754
64,0.01440820500003781,-54.72,99.4,35.71773922499254
65,0.014511444000042673,-127.6,139.34,38.579403704538805
66,0.01462600700004657,34.44,25.8,37.07314137799408
67,0.014710706000052198,32.08,29.32,39.225985510251796
68,0.014780329000046777,6.6,54.22,35.86955886491139
69,0.014864957000050083,33.28,26.38,31.363395246606036
70,0.014927338000049417,30.44,29.52,30.68393585553833
71,0.015013386000049422,-392.54,170.24,35.330574261754805
72,0.015234273000046983,-2.62,69.24,34.71847511142931
73,0.015314610000046969,24.98,38.74,39.890684964392406
74,0.015440055000041752,24.68,37.88,42.5383827531853
75,0.015578361000045504,21.94,42.36,40.04325785926487
76,0.015671041000047126,-15.94,72.42,39.682314809853956
77,0.015759560000049078,-10.88,72.3,40.94639686821927
78,0.01588151800005022,-52.7,105.14,47.74680646300003
79,0.016314562000047772,26.48,38.4,50.19380630623694
80,0.016407004000051018,-35.32,89.2,51.93556517337352
81,0.01652276200005076,38.1,25.04,49.33192003629705
82,0.01659582100004542,40.44,25.02,49.12120849390172
83,0.01666349300004555,38.08,25.64,41.25124869245623
84,0.016760968000042453,35.66,25.74,38.262891779944326
85,0.016830611000045792,-443.32,89.18,39.31773786044929
86,0.016946273000044698,-17.94,79.92,37.51188528231912
87,0.017045020000047373,-53.6,101.72,29.904743103746892
88,0.017176774000049022,3.78,55.3,24.62651031838276
89,0.017284295000045802,37.54,25.6,24.10418820055929
90,0.017340881000045272,24.12,43.08,20.35649603870316
91,0.01743825900004481,37.96,25.76,17.719329893974805
92,0.017539615000046638,23.42,43.2,17.62899398029092
93,0.01761620100004535,6.14,57.0,17.63233480517615
94,0.01769418000004208,20.34,45.7,22.160437800142745
95,0.0178137960000484,-38.26,98.22,19.67946631614542
96,0.01793883300004495,-18.26,77.64,19.298159717484488
97,0.01808209200004285,-44.2,73.14,23.47843223739306
98,0.018239089000040565,12.76,44.3,23.11920962819955
99,0.018303999000046645,7.82,54.28,22.23130163618366
100,0.018407844000044804,37.6,26.12,24.13807278823701
101,0.018510198000043943,-101.26,111.44,25.058846769318126
102,0.018669758000044112,-45.38,106.22,30.582093020012127
103,0.018777905000050055,22.96,44.24,31.952828844441207
104,0.018944382000050553,-17.88,75.92,26.13934555483571
105,0.019079126000050906,36.4,25.58,26.331400056759094
106,0.019144152000052372,24.42,42.2,26.51990618203906
107,0.019288737000053402,36.08,25.9,23.74722481103162
108,0.019359144000056006,36.6,25.38,22.035572232949143
109,0.01943223100005298,-18.42,73.74,21.573340362654456
110,0.019533874000053686,-155.36,156.72,19.690498985322954
111,0.01963896400005183,-16.18,79.04,18.583303249929475
112,0.019725882000052763,43.06,25.3,10.945199760757912
113,0.019802446000049656,41.1,25.52,9.402724912814277
114,0.0199074350000501,35.2,25.62,8.060229618110998
115,0.01996999300005342,22.3,41.42,9.984271688450809
116,0.020058317000049897,14.54,41.64,11.485446322617568
117,0.020178029000049946,18.18,43.8,11.464735716703593
118,0.02028988000004972,-44.1,73.32,15.872970737715274
119,0.02040638100004344,-3.9,64.26,17.500143089895047
120,0.020714217000048052,35.76,25.64,19.47743793855138
121,0.020948854000046424,38.22,25.5,19.3436747935215
122,0.021022863000041525,33.48,25.6,22.76905122069125
123,0.021113112000037404,37.68,26.04,25.18655373280213
124,0.02118106300003575,31.7,26.22,25.330462252793183
125,0.021368109000036384,22.56,42.32,24.525947150930232
126,0.02146952400003954,35.94,24.88,24.146092458402713
127,0.021586733000042102,22.0,41.14,24.802104542092373
128,0.0217509670000382,-15.14,76.26,20.28988122970362
129,0.021857874000041022,19.08,44.64,18.036973170235655
130,0.021941674000039768,17.9,40.6,18.04309114822889
131,0.022099137000040514,20.9,43.4,19.786967072044302
132,0.022172224000044594,13.68,46.56,18.754597120754838
133,0.022247590000048945,-10.92,67.94,20.98078494573753
134,0.02231943000004577,36.7,25.28,22.41292214388196
135,0.022407685000047195,35.56,25.84,20.66488991374329
136,0.02247516000004879,37.76,24.8,19.77458268290988
137,0.022540150000047277,40.48,25.56,19.88824412808862
138,0.022618460000046525,16.0,54.1,22.28207448103113
139,0.022704981000046587,-42.26,100.2,24.05764274974962
140,0.02304630900004412,21.28,39.54,24.362417763921496
141,0.023127099000042506,25.88,30.88,23.190766468793633
142,0.0232018850000415,-14.3,71.02,22.987000672864333
143,0.02326540900004659,32.06,32.82,19.91901260592598
144,0.023373797000047603,25.48,41.14,20.815998928969126
145,0.02351217600005384,3.24,59.32,24.17945452862368
146,0.023581396000054156,-151.92,171.74,26.210728292219432
147,0.02405468100005237,-84.36,106.16,25.4255308178549
148,0.02414164600005364,-40.58,75.42,27.04130444393955
149,0.024278931000054627,-197.72,144.28,26.463885345460426
150,0.0244786720000576,-31.1,70.86,26.639287585688756
151,0.024586340000055884,-4.86,42.24,30.375160205177252
152,0.024648201000054826,-30.0,65.54,28.708239791718093
153,0.02485058700005993,-15.36,42.48,27.58837496762164
154,0.02493244900006175,-44.72,70.5,27.18565932230488
155,0.025083032000061678,-36.94,69.5,31.703064481372365
156,0.025173031000058188,-51.74,76.78,29.210433386996858
157,0.025270121000055212,39.62,25.84,33.99870766927953
158,0.025339762000058386,-44.7,95.1,30.425928846758914
159,0.0254601890000572,31.56,31.18,31.559344229972368
160,0.025515443000060145,15.7,43.38,36.12124079528895
161,0.02561582300005938,-73.4,104.82,34.29067841072907
162,0.0257247560000593,-25.02,53.76,38.29506860904884
163,0.025828556000064395,9.68,38.18,39.74108918450135
164,0.0259457420000615,6.18,25.22,39.31586092142672
165,0.026026172000058523,-66.12,85.52,33.46561453902426
166,0.026140660000059768,13.14,48.56,37.77654049177897
167,0.026210903000055907,34.68,26.14,32.97516717510437
168,0.026319743000058793,-79.44,112.76,33.8974181425694
169,0.02677046500005531,-24.36,74.56,34.18024872691399
170,0.0268583150000552,-202.82,181.46,29.30973510629055
171,0.027016118000055656,-16.92,76.32,34.06756331484223
172,0.027093261000061375,21.98,37.7,31.206406282738744
173,0.027167599000065934,-4.02,61.92,29.629914901350077
174,0.02725771200006477,13.98,45.4,32.15963658204172
175,0.027366495000066493,-173.36,180.42,32.71640422768218
176,0.02754940300006581,37.24,27.06,32.346637533669515
177,0.02762450200006583,-59.02,85.96,31.559546129862987
178,0.02773647800006529,-8.14,41.1,30.484667358370466
179,0.02783907500006677,4.22,25.64,28.58103886224497
180,0.02790194700006765,-9.24,39.0,27.42357333541051
181,0.02800385300006525,-237.98,133.14,21.806415257217008
182,0.02815150600006433,8.18,51.2,20.579354999322366
183,0.02824477600006503,17.98,39.62,20.364910356502634
184,0.028322124000069948,6.58,36.0,16.105915232930784
185,0.028400524000069538,30.8,31.96,13.516924119061605
186,0.02848651100006805,25.38,39.76,9.795562042529788
187,0.028547428000067043,-198.66,133.22,10.695289192544305
188,0.028949728000064567,32.38,28.64,11.460812613751308
189,0.029023870000060015,-191.04,190.48,13.206153176098974
190,0.02957811500005647,33.72,29.72,13.217217495152473
191,0.029710138000055508,31.6,29.52,14.17010809990571
192,0.029993618000055733,35.22,29.08,14.813484805516694
193,0.030066905000055044,-23.6,78.94,18.204539147311248
194,0.03018594000005237,9.64,57.56,20.63967737030232
195,0.030606524000049262,-90.12,125.5,23.391556671653273
196,0.030804343000049528,4.72,57.26,24.943843300633894
197,0.030926499000052843,35.04,26.36,27.599921966794227
198,0.031048024000050134,-29.62,93.06,26.862524554211348
199,0.031154324000056022,13.48,45.82,24.57572511428412
200,0.031242684000055476,39.2,25.1,25.6529384271147
201,0.031361906000057616,20.84,42.88,24.524866075335446
202,0.03143938900005594,21.04,41.52,25.792716601257364
203,0.03151347100005353,35.72,25.68,26.6780535226131
204,0.0315810280000548,41.12,24.92,28.989656839040435
205,0.03168609700005476,34.24,26.58,28.291606507957066
206,0.03178404000005486,5.82,55.58,26.547415703211463
207,0.03190449500005599,26.78,29.4,24.262766209071124
208,0.031980395000054784,36.2,25.2,26.70326937243225
209,0.03205003200005763,34.24,26.98,26.741412563082825
210,0.03214149700005464,29.42,31.92,28.596566031613982
211,0.032211293000052876,37.7,24.86,29.753520295196353
212,0.03231260200005437,4.26,55.98,29.017010989272364
213,0.032426030000053174,-20.2,73.32,25.33007693391956
214,0.033495881000050076,19.28,42.7,22.71860496932471
215,0.03357845000005,24.14,43.64,23.22642484012453
216,0.033768841000046734,-0.76,63.04,23.66859534325317
217,0.03388427800004479,21.6,43.28,24.269378860453394
218,0.0340219220000435,-20.62,77.38,23.266018117973594
219,0.03411146000004095,-143.32,150.48,24.89458051479021
220,0.03442134700004118,-32.66,94.94,21.005801049275593
221,0.03455590300004019,-30.28,89.94,20.80647106624339
222,0.03465463000004121,18.28,40.8,21.400962377865568
223,0.03475722000003856,33.68,25.98,21.231141372196316
224,0.03485252900004099,-22.56,84.26,21.06506114632608
225,0.03494263000003883,-15.06,71.86,20.912756645131143
226,0.03513732800003311,37.72,27.74,22.989223931140383
227,0.03521141600003119,38.6,25.12,20.751249827022242
228,0.035301730000036,26.1,40.52,19.653096762492375
229,0.035373131000035585,-4.56,63.36,19.483723402291314
230,0.035486646000038036,-33.26,52.04,19.33871493186887
231,0.03556445500003491,-41.34,50.54,20.00477243279181
232,0.03620452900003812,-293.94,125.04,21.30138752991154
233,0.036501131000036935,-12.74,67.5,26.263587001336305
234,0.036586696000036056,32.1,32.2,26.74865048017059
235,0.036668695000038554,32.08,28.74,27.70411865847591
236,0.036729195000042125,-514.18,108.98,30.521595340853224
237,0.0368627460000468,-421.82,117.86,33.24898972115069
238,0.03702902200004132,-573.54,111.8,39.78363221767472
239,0.037250128000046345,4.46,57.52,42.74766801495025
240,0.037332058000046686,10.12,53.02,44.499753479655695
241,0.03747026100004547,19.34,43.22,44.976056527570336
242,0.037578218000042796,-9.72,69.38,45.887565091628126
243,0.03769012000004324,37.46,26.84,40.941416866885014
244,0.037773012000045014,17.8,43.6,41.31240937675978
245,0.037856180000041206,33.74,25.34,40.675358292879714
246,0.03793817300004321,22.76,42.7,35.661352593519624
247,0.03803931900004187,37.92,26.96,32.41307538715204
248,0.038109577000042805,-76.1,85.36,27.44615509733179
249,0.038237275000042814,6.66,57.06,25.655535442827944
250,0.038509865000044385,-99.96,137.18,28.183115409444362
251,0.03869864000004952,36.0,27.14,26.687984434124463
252,0.03882019900004963,-57.24,103.34,24.625702490484407
253,0.03897928600004974,-159.38,175.28,28.890437719002826
254,0.0392703870000517,-178.82,183.74,28.147051201089617
255,0.03959258800004761,-22.2,80.14,26.826839378387774
256,0.03967958400004079,-1.26,61.5,28.853620402815274
