iter,time,reward,steps,convergence
1,0.0014360349999975597,-301.06,197.62,92.02711095492498
2,0.002227872999995384,-391.68,196.02,86.71711095492498
3,0.0023929039999970314,-298.76,200.0,79.58200095492498
4,0.003214064999994548,-296.44,200.0,73.94945895492498
5,0.003693110999996918,-207.94,200.0,66.6881773787205
6,0.004070466999998246,-200.16,200.0,58.5824876975535
7,0.004647079999998027,-202.26,200.0,49.194905586335366
8,0.005154630999996357,-234.98,199.92,43.55796409154114
9,0.005719920999993633,-246.46,194.28,37.47384854171477
10,0.006374833999998941,-225.1,200.0,29.678425664440425
11,0.0068765079999977274,-247.72,200.0,30.38993609776822
12,0.007200786999995046,-162.8,157.64,27.9096468325839
13,0.007347914999989769,-155.98,166.82,27.901930079990187
14,0.008143314999990992,-195.8,187.58,27.741162024506064
15,0.009115522999991299,-136.62,146.06,26.159796382947377
16,0.00951536599999514,-97.32,120.88,25.942786991302647
17,0.009733241999995812,-164.92,175.66,28.214270419233987
18,0.010275370000002226,-155.84,172.24,28.541211488862388
19,0.010440300000006175,-83.24,108.7,25.385009459498253
20,0.010881553000004374,-116.28,108.9,24.485673552579
21,0.011063775000003773,-105.24,138.98,21.71101690241469
22,0.011353016000001048,-82.14,117.58,21.27629321410072
23,0.011690782000002287,-71.64,117.44,20.36019700874691
24,0.011993410999998844,3.94,65.08,16.993368978746872
25,0.012234347999999784,-197.28,183.08,21.733224872781093
26,0.01256866100000309,-228.24,195.18,26.182345361426364
27,0.012902564000000893,-202.66,200.0,29.84875931725036
28,0.013722053000002177,-123.28,134.88,31.088491513653288
29,0.013952870000004225,-201.06,197.3,32.73057886749655
30,0.015255414000002077,-198.88,184.28,38.042419258257794
31,0.0164592949999971,-211.86,194.86,40.641929877332515
32,0.017257979000000034,-161.38,175.42,41.92859739496926
33,0.017437455999996132,-179.44,192.4,42.98528619855334
34,0.018498160999989466,-201.76,186.7,51.09609259951757
35,0.018850180999990584,1.8,61.06,52.02039659256077
36,0.019018800999994312,18.74,46.44,48.75264676117123
37,0.019096011999998552,-381.44,83.28,48.19143181744455
38,0.01942462600000283,38.16,26.72,46.23777075033227
39,0.01958762299999961,36.74,31.34,44.96843013076686
40,0.01965222199999772,37.98,25.16,40.0977325466421
41,0.01986997200000218,-8.92,73.52,38.84317262578048
42,0.019966004000004034,-214.96,190.1,36.77145608556448
43,0.020050875000002577,33.98,28.0,36.02238787796163
44,0.02012225800000067,-11.54,74.1,27.8046699163511
45,0.020224695999999653,38.26,25.46,22.247739461280144
46,0.020299126999994144,-19.56,79.82,20.379050828536197
47,0.020405744999990816,17.36,44.62,15.431544808191052
48,0.020492095999991022,-164.74,172.26,17.174957110950526
49,0.020613115999992715,17.94,44.04,16.77702005652442
50,0.020805933999987758,-13.1,78.28,17.681741724169413
51,0.02097540399999076,-9.1,62.38,16.170914079549163
52,0.021076344999997332,25.5,38.22,15.704704074320848
53,0.02115851199999952,-34.14,61.9,15.57312681143
54,0.021251929000001724,31.92,26.0,15.29494145234363
55,0.021321575000001758,32.86,26.22,17.6949688880833
56,0.021402356999999483,38.44,25.28,17.47710689481043
57,0.02155073600000179,22.36,40.78,17.090234656940694
58,0.02163694500000446,39.14,26.32,13.574919586502057
59,0.0217620610000111,-13.28,72.08,18.02121764736692
60,0.021834183000009943,19.86,44.16,15.805206032817612
61,0.021910624000014423,1.76,61.02,17.998394842920668
62,0.022086074000014833,37.48,26.24,18.356460945798876
63,0.022201236000015,4.12,54.1,16.94292989453762
64,0.022297544000018377,-253.52,200.0,20.137552800186956
65,0.022459121000018456,37.3,27.0,18.916861503857117
66,0.022602921000022036,36.36,26.2,18.87429942510468
67,0.022740110000022185,6.08,59.1,21.199241968645833
68,0.022822989000019334,3.12,69.5,21.890808685045396
69,0.023021096000022112,-5.4,65.06,19.171872850310002
70,0.023115793000016538,2.32,61.98,21.828532928791553
71,0.023266602000013847,24.7,41.34,19.65796214251891
72,0.023358724000011932,-22.6,79.1,19.559774729483433
73,0.023517376000008028,16.0,45.4,19.71217685568127
74,0.023607311000006348,1.02,60.68,16.585244163504843
75,0.02370525800000678,-212.74,157.2,17.281952185706384
76,0.024152918000012846,-25.66,81.68,19.025688820438084
77,0.024274722000008353,25.26,34.7,18.42370877018411
78,0.024396325000004992,13.14,55.8,16.300374988032775
79,0.02462163600000622,0.7,60.7,18.65933292489307
80,0.024783841000008522,1.96,61.18,16.327758593708772
81,0.024887254000006465,-53.9,84.56,18.36120959726792
82,0.024972145000006662,-138.84,152.64,18.923680570255552
83,0.025132261000003098,31.08,30.04,19.31695112144801
84,0.025273022000000367,10.26,51.14,19.478049195488996
85,0.025347961999997892,35.8,26.18,17.26019062405711
86,0.025436024000001112,-5.54,71.58,16.54047914784388
87,0.0255120950000034,33.98,26.84,14.748492553682667
88,0.025579497000002505,1.28,60.7,16.454710005105152
89,0.02578838200000888,-7.16,97.86,13.76260265378157
90,0.026143708000006427,-18.12,81.96,16.452525603235923
91,0.026420328000007487,26.72,41.06,16.761685713744935
92,0.026544650000012382,-174.64,170.24,19.273612399635173
93,0.02663510300001093,35.1,25.14,20.87950099474351
94,0.026793322000017383,18.42,48.2,23.512684080116475
95,0.026895068000015954,11.7,49.42,24.845617340734197
96,0.02703891200001607,24.26,39.46,26.2848411309634
97,0.027138038000018128,37.92,24.64,26.341967661764976
98,0.027246559000012383,0.8,58.86,26.642737523044946
99,0.02732716200001306,-148.3,151.1,27.4343861557799
100,0.027455316000015273,35.42,25.98,24.67997017903153
101,0.027542610000018897,35.46,25.36,22.140532339326285
102,0.027615814000022,13.68,54.68,18.88697372029201
103,0.02770514500002008,38.78,26.68,18.979207022244786
104,0.027845361000018443,15.68,42.82,16.463680149311926
105,0.027955796000014743,25.7,44.98,17.138303717912503
106,0.028115047000014215,36.06,25.92,15.328080689521187
107,0.028188001000017948,18.46,41.2,15.406536915115684
108,0.02827407700002027,2.16,60.98,15.489831864009213
109,0.028345993000023384,36.18,25.22,14.303832490554916
110,0.028428954000027318,9.26,53.3,15.182232677575376
111,0.028621822000026498,28.62,50.76,17.537086888418024
112,0.02883470700002988,-95.16,93.48,22.609217037686914
113,0.029206758000029254,-23.78,111.36,27.21990906638469
114,0.029576760000033175,13.14,54.64,31.66906565178281
115,0.02965569300003068,31.22,31.34,31.69596504451289
116,0.02972379200002706,32.32,32.56,33.80938299763996
117,0.029811957000028144,38.26,32.42,33.53712031600592
118,0.029893788000023847,-2.8,62.28,31.491285575891567
119,0.02998214300002644,18.28,42.54,30.437015769116453
120,0.030085388000024693,35.76,29.7,29.709385617730085
121,0.030147656000025336,-0.82,65.7,29.632197925926278
122,0.030659554000024514,-27.64,91.66,26.731724943259923
123,0.03078195200001943,6.38,60.82,24.00407146424401
124,0.03109180800002065,-15.78,76.02,22.79240165618899
125,0.03123017500001879,-41.82,90.22,22.43595065038511
126,0.03139772500001925,-138.88,124.56,24.8590194776837
127,0.03148624600002137,2.16,49.16,27.75667627473864
128,0.03158115200002243,-59.04,106.98,30.15986383798451
129,0.0316706080000273,22.08,42.8,32.13970042564666
130,0.031743975000026126,39.66,26.38,34.224066552725915
131,0.0318090380000271,38.06,26.24,34.31484037136935
132,0.03198166100002453,16.24,61.4,33.97814672272548
133,0.032075632000022836,33.22,60.66,30.425186002248886
134,0.032150741000023686,-10.38,101.08,28.525143629772685
135,0.03229898600002201,35.74,55.64,28.489218839013773
136,0.03237300000002108,22.74,57.58,23.912454637155985
137,0.032436359000023174,27.72,54.56,21.98922048357398
138,0.032611777000020936,46.18,46.36,22.74684922151947
139,0.03276320500001617,-111.34,162.66,20.830507050064156
140,0.03287360300002007,44.88,46.28,23.867582381612596
141,0.03301715200001354,24.0,60.78,25.093270440739808
142,0.033479890000009505,-198.84,181.5,29.939517445002785
143,0.03423173300001281,-146.5,156.98,32.94224189641361
144,0.0344882880000128,-198.76,199.16,34.504024827222835
145,0.0350008140000142,-184.84,189.58,35.76265107773738
146,0.035211474000014675,-21.34,70.22,38.561814861746186
147,0.03534844300001083,-21.96,72.34,41.419893841020304
148,0.03545313700000463,23.42,38.78,38.5303094967353
149,0.035864491000005216,-40.9,86.5,40.343371940208
150,0.036030613000008316,2.26,52.66,39.0654736504044
151,0.03620597400001202,31.54,30.08,36.373652469318344
152,0.03629654000000926,28.96,32.84,29.62652031987137
153,0.036383081000010975,-85.16,113.32,30.33589952568287
154,0.03665464000000895,-102.26,127.64,28.46723768506655
155,0.037057783000008726,-180.32,168.78,29.329431604377483
156,0.0371782270000125,22.52,34.74,25.80735073647143
