iter,time,reward,steps,convergence
1,0.18220558000000153,-299.0,300.0,83.8935897024
2,0.346323519000002,-299.0,300.0,64.54686087513427
3,0.48313549599999916,-299.0,300.0,64.90671565307396
4,0.6165962210000018,-303.15,298.98,67.83331691562178
5,0.8135648050000022,-243.94,254.58,60.878454959382175
6,0.9824273680000033,-19.08,72.37,60.7014193803643
7,1.114170608000002,2.71,55.71,58.70698194709867
8,1.2484484840000043,1.24,55.99,57.51784761080688
9,1.378214515000007,4.95,55.29,44.63914207720892
10,1.5302453860000078,12.08,62.73,39.26277213758527
11,1.6615484510000087,10.36,64.91,8.458157207062348
12,1.7959078880000057,7.01,62.78,6.964750719841577
13,1.9115311050000017,13.78,63.9,5.410413100370958
14,2.0197604119999966,14.39,65.02,3.5440549666275754
15,2.101985458999998,13.15,64.08,1.536893765175165
16,2.1205087829999947,17.26,62.42,0.00029258457328573684
17,2.146064489999997,11.56,63.37,0.0001006207804259418
18,2.1634571399999984,15.65,61.83,3.601798063357364e-05
19,2.181184154999997,15.52,64.09,1.3362076973777448e-05
20,2.199718660000002,14.64,62.77,5.113636195375193e-06
21,2.2228911400000015,7.37,64.16,2.009632170896225e-06
22,2.2402522700000063,13.77,62.84,8.077490267766052e-07
